# Constructed from biom file
#OTU ID	PHA1	PHA2	PHA3	PHA4	PHA5	PHB1	PHB2	PHB3	PHB4	PHB5	PLA1	PLA2	PLA3	PLA4	PLA5	PLB1	PLB2	PLB3	PLB4	PLB5	PMA1	PMA2	PMA3	PMA4	PMA5	WBA1	WBA2	WBA3	WBA4	WBA5	WSA1	WSA2	WSA3	WSA4	WSA5	WSB1	WSB2	WSB3	WSB4	WSB5
bc3676c17839094c4fa8e33268905268	491.0	209.0	82.0	171.0	152.0	135.0	161.0	171.0	335.0	359.0	437.0	124.0	191.0	199.0	111.0	137.0	39.0	73.0	77.0	78.0	507.0	229.0	149.0	390.0	146.0	112.0	574.0	163.0	285.0	459.0	424.0	341.0	567.0	125.0	502.0	179.0	14.0	81.0	0.0	105.0
ed3d7020f31a64a765244b28d6ca4be7	94.0	107.0	31.0	116.0	303.0	114.0	16.0	26.0	20.0	88.0	228.0	206.0	280.0	214.0	144.0	764.0	422.0	475.0	734.0	561.0	44.0	43.0	26.0	29.0	29.0	26.0	120.0	44.0	37.0	24.0	144.0	187.0	214.0	61.0	141.0	57.0	0.0	40.0	0.0	40.0
7ff346973a282aa55de296afdb5d74af	216.0	194.0	84.0	254.0	134.0	13.0	17.0	37.0	9.0	42.0	265.0	124.0	321.0	246.0	188.0	355.0	308.0	332.0	372.0	221.0	265.0	149.0	158.0	175.0	178.0	29.0	113.0	53.0	53.0	167.0	117.0	159.0	211.0	21.0	225.0	43.0	0.0	26.0	0.0	24.0
5b5fc41e4def55055e7e165fecdfc4f1	196.0	145.0	25.0	140.0	178.0	0.0	45.0	42.0	0.0	56.0	247.0	186.0	269.0	281.0	175.0	468.0	273.0	323.0	453.0	345.0	163.0	96.0	84.0	108.0	163.0	24.0	141.0	53.0	71.0	38.0	138.0	213.0	176.0	40.0	112.0	32.0	0.0	0.0	24.0	56.0
0b9e7b1532d86d28d872bfd0ba38a575	121.0	95.0	30.0	81.0	295.0	33.0	0.0	14.0	9.0	37.0	401.0	220.0	341.0	298.0	260.0	445.0	231.0	308.0	405.0	335.0	83.0	30.0	28.0	50.0	30.0	20.0	148.0	44.0	50.0	55.0	104.0	233.0	250.0	60.0	189.0	59.0	0.0	37.0	0.0	61.0
3ab9af3e9d29ebb0b244558ddab132ed	120.0	120.0	54.0	147.0	851.0	45.0	12.0	23.0	13.0	37.0	352.0	239.0	341.0	178.0	139.0	164.0	84.0	131.0	212.0	113.0	93.0	45.0	30.0	48.0	29.0	15.0	55.0	21.0	24.0	30.0	89.0	348.0	238.0	42.0	124.0	49.0	0.0	37.0	0.0	40.0
7347881ef3980ea60fc95285a8b34495	216.0	129.0	64.0	97.0	63.0	0.0	36.0	24.0	25.0	80.0	278.0	155.0	191.0	231.0	100.0	364.0	160.0	262.0	283.0	256.0	174.0	76.0	65.0	124.0	46.0	18.0	92.0	35.0	26.0	31.0	72.0	92.0	138.0	23.0	79.0	55.0	0.0	37.0	14.0	46.0
b8c4ed03d7d91546b9f6ad80b80135a3	71.0	57.0	23.0	64.0	57.0	7.0	15.0	16.0	0.0	37.0	274.0	116.0	229.0	273.0	119.0	496.0	320.0	525.0	526.0	287.0	95.0	69.0	26.0	46.0	55.0	13.0	38.0	35.0	26.0	25.0	16.0	31.0	79.0	12.0	40.0	22.0	4.0	20.0	0.0	15.0
10189d683999bf5dd155f1fcbb2e238a	16.0	9.0	7.0	0.0	0.0	127.0	50.0	51.0	241.0	352.0	0.0	0.0	0.0	14.0	28.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	15.0	25.0	12.0	20.0	0.0	0.0	35.0	28.0	29.0	127.0	33.0	79.0	649.0	410.0	729.0	295.0	741.0
9f04d4582c00cc1372a4a536aaa64d65	134.0	348.0	58.0	179.0	76.0	54.0	88.0	81.0	78.0	160.0	80.0	23.0	91.0	39.0	0.0	18.0	0.0	0.0	11.0	19.0	245.0	116.0	89.0	124.0	115.0	121.0	87.0	42.0	93.0	230.0	146.0	42.0	209.0	0.0	152.0	51.0	0.0	27.0	0.0	38.0
